Date,Close
2007-01-03,45.75
2007-01-04,44.69
2007-01-05,45.12
2007-01-08,45.13
2007-01-09,44.73
2007-01-10,44.07
2007-01-11,44.48
2007-01-12,46.22
2007-01-16,45.51
2007-01-17,46.31
2007-01-18,45.67
2007-01-19,46.65
2007-01-22,47.46
2007-01-23,48.44
2007-01-24,48.95
2007-01-25,47.66
2007-01-26,47.98
2007-01-29,48.09
2007-01-30,49.22
2007-01-31,49.62
2007-02-01,51.22
2007-02-02,51.4
2007-02-05,50.9
2007-02-06,50.55
2007-02-07,50.48
2007-02-08,51.12
2007-02-09,50.84
2007-02-12,50.33
2007-02-13,50.98
2007-02-14,51.11
2007-02-15,50.79
2007-02-16,51.15
2007-02-20,51.16
2007-02-21,52.93
2007-02-22,53.73
2007-02-23,53.72
2007-02-26,53.93
2007-02-27,52.45
2007-02-28,52.6
2007-03-01,52.99
2007-03-02,52.1
2007-03-05,51.11
2007-03-06,52.87
2007-03-07,54.66
2007-03-08,54.84
2007-03-09,55.05
2007-03-12,55.11
2007-03-13,55.02
2007-03-14,56.01
2007-03-15,55.31
2007-03-16,54.85
2007-03-19,55.57
2007-03-20,56.31
2007-03-21,56.51
2007-03-22,57.31
2007-03-23,58.18
2007-03-26,58.82
2007-03-27,59.32
2007-03-28,58.56
2007-03-29,59.54
2007-03-30,58.95
2007-04-02,59.35
2007-04-03,59.05
2007-04-04,60.27
2007-04-05,60.34
2007-04-09,61.38
2007-04-10,61.52
2007-04-11,61.59
2007-04-12,62.76
2007-04-13,62.52
2007-04-16,61.17
2007-04-17,59.7
2007-04-18,59.38
2007-04-19,59.22
2007-04-20,60.27
2007-04-23,62.38
2007-04-24,62.63
2007-04-25,64.28
2007-04-26,65.58
2007-04-27,65.09
2007-04-30,64.2
2007-05-01,65.04
2007-05-02,66.64
2007-05-03,67.02
2007-05-04,67.05
2007-05-07,66.25
2007-05-08,67.33
2007-05-09,67.76
2007-05-10,66.35
2007-05-11,67.49
2007-05-14,67.37
2007-05-15,66.51
2007-05-16,65.84
2007-05-17,66.79
2007-05-18,67.61
2007-05-21,69.27
2007-05-22,69.24
2007-05-23,68.11
2007-05-24,66.86
2007-05-25,68.32
2007-05-29,67.29
2007-05-30,68.73
2007-05-31,68.21
2007-06-01,69.36
2007-06-04,69.73
2007-06-05,69.49
2007-06-06,67.88
2007-06-07,66.76
2007-06-08,67.12
2007-06-11,67.48
2007-06-12,66.65
2007-06-13,68.24
2007-06-14,69.5
2007-06-15,69.93
2007-06-18,70.66
2007-06-19,70.15
2007-06-20,68.48
2007-06-21,69.99
2007-06-22,69.88
2007-06-25,69.41
2007-06-26,68.24
2007-06-27,67.77
2007-06-28,67.29
2007-06-29,67.51
2007-07-02,67.89
2007-07-03,68.07
2007-07-05,68.45
2007-07-06,69.0
2007-07-09,70.34
2007-07-10,71.03
2007-07-11,70.98
2007-07-12,70.48
2007-07-13,70.61
2007-07-16,69.54
2007-07-17,68.65
2007-07-18,69.41
2007-07-19,68.12
2007-07-20,66.85
2007-07-23,66.41
2007-07-24,64.57
2007-07-25,64.08
2007-07-26,62.61
2007-07-27,61.67
2007-07-30,63.14
2007-07-31,61.25
2007-08-01,58.12
2007-08-02,59.04
2007-08-03,56.6
2007-08-06,57.65
2007-08-07,58.52
2007-08-08,61.51
2007-08-09,61.75
2007-08-10,62.98
2007-08-13,60.99
2007-08-14,59.51
2007-08-15,57.94
2007-08-16,57.05
2007-08-17,59.04
2007-08-20,58.53
2007-08-21,57.69
2007-08-22,59.65
2007-08-23,60.59
2007-08-24,62.29
2007-08-27,61.77
2007-08-28,60.35
2007-08-29,62.3
2007-08-30,62.2
2007-08-31,62.62
2007-09-04,64.53
2007-09-05,64.88
2007-09-06,64.34
2007-09-07,63.4
2007-09-10,62.18
2007-09-11,62.07
2007-09-12,61.01
2007-09-13,62.82
2007-09-14,63.34
2007-09-17,62.69
2007-09-18,64.17
2007-09-19,63.59
2007-09-20,64.07
2007-09-21,64.95
2007-09-24,64.78
2007-09-25,62.93
2007-09-26,62.39
2007-09-27,61.76
2007-09-28,61.41
2007-10-01,61.65
2007-10-02,62.07
2007-10-03,61.33
2007-10-04,62.03
2007-10-05,62.48
2007-10-08,64.69
2007-10-09,65.99
