Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
SYF,"Synchrony Financial",33.35,-0.39,-1.16%,33.35,33.54,32.73,1888419,"11:54 ET"
TFC,"Truist Financial Corp",50.34,0.040000000000006,+0.08%,50.17,50.265,49.46,1104265,"11:55 ET"
TROW,"T Rowe Price Group",123.7,0.28,+0.23%,122.23,123.52,121.52,253541,"11:53 ET"
TRV,"The Travelers Companies Inc",159.12,2.85,+1.82%,156.62,159.65,155.99,449066,"11:55 ET"
USB,"U.S. Bancorp",47.29,-0.22,-0.46%,47.36,47.43,46.64,2351932,"11:55 ET"
WFC,"Wells Fargo & Company",43.51,-0.030000000000001,-0.07%,43.49,43.53,42.945,5321327,"11:55 ET"
WRB,"W.R. Berkley Corp",61.83,0.41,+0.67%,61.49,61.8,61.09,338100,"11:54 ET"
WTW,"Willis Towers Watson Public Ltd CO",207.23,3.41,+1.67%,204.03,207.06,202.79,143053,"11:55 ET"
ZION,"Zions Bancorp",53.89,-0.039999999999999,-0.07%,53.97,54.48,53.28,254923,"11:55 ET"
"Downloaded from Barchart.com as of 08-02-2022 10:55am CDT"
