Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ADM,"Archer Daniels Midland",83.93,-0.33,-0.39%,84.07,84.43,83.09,955077,"11:53 ET"
BF.B,"Brown Forman Inc Cl B",74.25,-0.51000000000001,-0.68%,74.7,74.7,73.835,212662,"11:53 ET"
CAG,"Conagra Brands Inc",34.41,-0.42,-1.21%,34.64,34.6457,34.12,565822,"11:54 ET"
CHD,"Church & Dwight Company",87.67,-0.92999999999999,-1.05%,88.99,89.04,87.15,283890,"11:54 ET"
CL,"Colgate-Palmolive Company",80.67,-0.42999999999999,-0.53%,81.52,81.56,80.17,1663751,"11:54 ET"
CLX,"Clorox Company",143.95,-1.34,-0.92%,145.76,145.76,143.35,293544,"11:53 ET"
COST,"Costco Wholesale",547.39,0.58000000000004,+0.11%,544.03,547.2099,540.765,788100,"11:54 ET"
CPB,"Campbell Soup Company",49.43,-0.15,-0.30%,49.85,49.95,49.169,510769,"11:51 ET"
EL,"Estee Lauder Companies",271.25,-2.26,-0.83%,270.5,272.49,267.17,532850,"11:54 ET"
GIS,"General Mills",75.33,-0.37,-0.49%,76,76.25,75.12,1226361,"11:54 ET"
HRL,"Hormel Foods Corp",49.37,0.039999999999999,+0.08%,49.54,49.61,49.11,230557,"11:54 ET"
HSY,"Hershey Foods Corp",231.1,1.32,+0.57%,230.84,231.23,228.94,189972,"11:54 ET"
K,"Kellogg Company",74.06,-0.67999999999999,-0.91%,74.9,75.104,73.81,638995,"11:53 ET"
KDP,"Keurig Dr Pepper Inc",38.72,-0.19,-0.49%,38.95,38.9663,38.43,1448610,"11:54 ET"
KHC,"Kraft Heinz Company",37.3,-0.13,-0.35%,37.36,37.69,37.165,1499965,"11:54 ET"
KMB,"Kimberly-Clark Corp",133.69,-1.68,-1.24%,136,136.23,133.44,427981,"11:54 ET"
KO,"Coca-Cola Company",64.06,-0.45999999999999,-0.71%,64.59,64.6,63.96,3280665,"11:54 ET"
KR,"Kroger Company",46.92,0.18,+0.39%,47,47,46.11,917907,"11:54 ET"
LW,"Lamb Weston Holdings Inc",80.32,-0.28,-0.35%,80.81,80.81,79.68,296997,"11:52 ET"
MDLZ,"Mondelez Intl Inc",64.82,-0.070000000000007,-0.11%,65.164,65.164,64.54,1215333,"11:54 ET"
MKC,"Mccormick & Company",88.78,1.05,+1.20%,88.19,88.79,87.15,278920,"11:54 ET"
MNST,"Monster Beverage Cp",96.88,-1.61,-1.63%,97.9,98.085,96.05,1140080,"11:54 ET"
MO,"Altria Group",44.05,0.0050000000000026,+0.01%,44.1,44.19,43.26,2520868,"11:54 ET"
PEP,"Pepsico Inc",176.11,-0.83999999999997,-0.47%,176.94,177.145,175.43,1144961,"11:54 ET"
PG,"Procter & Gamble Company",142.55,-0.34999999999999,-0.24%,143.11,143.7248,141.7673,2272454,"11:54 ET"
PM,"Philip Morris International Inc",98.71,0.22999999999999,+0.23%,98.9,99.24,98.16,1046907,"11:54 ET"
SJM,"J.M. Smucker Company",133.71,-0.34,-0.25%,134.2,134.2,133.08,124163,"11:54 ET"
STZ,"Constellation Brands Inc",244.95,0.79999999999998,+0.33%,244.8,245.22,242.95,179466,"11:54 ET"
SYY,"Sysco Corp",85.69,-0.31,-0.36%,85.92,86.02,84.89,548399,"11:53 ET"
TAP,"Molson Coors Brewing Company",53.84,-5.84,-9.79%,57.01,57.14,53.14,2875526,"11:54 ET"
TSN,"Tyson Foods",87.88,-0.29000000000001,-0.33%,88.39,88.49,87.21,275509,"11:54 ET"
WBA,"Walgreens Boots Alliance",39.81,-0.079999999999998,-0.20%,39.97,40.0151,39.3699,1412903,"11:54 ET"
WMT,"Walmart Inc",132.89,0.34999999999999,+0.26%,133.15,133.25,131.4,1887504,"11:54 ET"
"Downloaded from Barchart.com as of 08-02-2022 10:54am CDT"
