Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
APA,"Apa Corp",36.07,0.060000000000002,+0.17%,35.95,36.1,35.17,2176125,"11:53 ET"
BKR,"Baker Hughes A Ge Co. Cl A",25.58,0.92,+3.73%,24.71,25.465,24.7,2087461,"11:54 ET"
COP,Conocophillips,95.42,0.32000000000001,+0.34%,95.1,95.85,93.93,1701222,"11:54 ET"
CTRA,"Coterra Energy Inc",29.25,-0.32,-1.08%,29.42,29.77,28.89,2347012,"11:54 ET"
CVX,"Chevron Corp",160.34,-0.16999999999999,-0.11%,160.89,161.47,158.3,2209884,"11:54 ET"
DVN,"Devon Energy Corp",61.16,-0.41,-0.67%,61.32,62.2,58.92,8242696,"11:54 ET"
EOG,"Eog Resources",107.77,0.19,+0.18%,107.92,108.48,106.215,794147,"11:54 ET"
FANG,"Diamondback Energy",127.67,1.75,+1.39%,124.65,128.79,123.39,1603847,"11:54 ET"
HAL,"Halliburton Company",28.72,0.53,+1.88%,28.24,28.6,27.98,2963336,"11:53 ET"
HES,"Hess Corp",109.46,0.72,+0.66%,108.95,109.71,107.31,353609,"11:54 ET"
KMI,"Kinder Morgan",17.84,-0.059999999999999,-0.34%,17.91,18,17.63,10711219,"11:54 ET"
MPC,"Marathon Petroleum Corp",94.04,3.72,+4.12%,90.85,94.91,90.62,2275722,"11:54 ET"
MRO,"Marathon Oil Corp",24.05,0.060000000000002,+0.25%,24.05,24.21,23.46,5220127,"11:54 ET"
OKE,"Oneok Inc",58.43,-0.69,-1.17%,58.99,59.3,57.57,1479376,"11:54 ET"
OXY,"Occidental Petroleum Corp",65.28,0.049999999999997,+0.08%,65.31,65.5,63.95,6275656,"11:54 ET"
PSX,"Phillips 66",88.47,0.98,+1.12%,87.62,88.44,86.18,868082,"11:54 ET"
PXD,"Pioneer Natural Resources Company",230.02,1.92,+0.84%,228.47,231,226.281,489300,"11:54 ET"
SLB,"Schlumberger N.V.",37.12,0.72,+1.98%,36.5,36.9487,36.33,3596133,"11:54 ET"
VLO,"Valero Energy Corp",114.37,3.72,+3.36%,111.37,114.58,111,1577304,"11:54 ET"
WMB,"Williams Companies",32.51,-1.49,-4.38%,34.15,34.33,32.2025,4866126,"11:54 ET"
XOM,"Exxon Mobil Corp",94.99,0.50999999999999,+0.54%,94.69,95.2,93.82,6640085,"11:54 ET"
"Downloaded from Barchart.com as of 08-02-2022 10:54am CDT"
