Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
SEDG,"Solaredge Tech",297.9,-67.51,-18.48%,329,329.0675,294.721,4199647,"15:27 ET"
SNPS,"Synopsys Inc",371.04,2.68,+0.73%,359,372.38,359,774288,"15:28 ET"
STX,"Seagate Technology Hldgs Plc",80.44,1.43,+1.81%,79.5,80.6459,79.04,737855,"15:28 ET"
SWKS,"Skyworks Solutions",111.63,3.5,+3.24%,108.52,112,108.52,898723,"15:28 ET"
TDY,"Teledyne Technologies Inc",398.61,7.12,+1.82%,393.31,399.87,391.29,124907,"15:28 ET"
TEL,"Te Connectivity Ltd",133.52,2.13,+1.62%,131.54,133.98,131.34,517269,"15:28 ET"
TER,"Teradyne Inc",101.67,2.73,+2.76%,99.36,102.31,98.99,807512,"15:28 ET"
TRMB,"Trimble Navigation",69.55,1,+1.46%,66.79,69.9467,65.81,418206,"15:28 ET"
TXN,"Texas Instruments",183,5.78,+3.26%,178.01,183.8099,177.86,3270186,"15:28 ET"
TYL,"Tyler Technologies",409,7.73,+1.93%,404.74,410.95,403.16,97661,"15:28 ET"
V,"Visa Inc",208.26,2,+0.97%,207.99,210.33,206.88,7007561,"15:28 ET"
VRSN,"Verisign Inc",195.44,2.33,+1.21%,192.95,196.11,192.88,256571,"15:28 ET"
WDC,"Western Digital Cp",49.45,0.98,+2.02%,48.81,49.75,48.09,1567278,"15:28 ET"
ZBRA,"Zebra Technologies",328.76,5.44,+1.68%,322.22,332.03,316.05,349977,"15:28 ET"
"Downloaded from Barchart.com as of 08-03-2022 02:28pm CDT"
