Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AEE,"Ameren Corp",92.03,-0.27,-0.29%,92.24,92.85,91.48,853336,"15:33 ET"
AEP,"American Electric Power Company",100.24,0.64999999999999,+0.65%,99.47,100.35,99.06,1827104,"15:33 ET"
AES,"The Aes Corp",23.18,0.63,+2.79%,22.54,23.15,22.41,3269627,"15:33 ET"
ATO,"Atmos Energy Corp",116.82,-2.46,-2.06%,118.24,119.22,116.5,570212,"15:33 ET"
AWK,"American Water Works",158.99,1.34,+0.85%,157.86,159.22,156.25,423187,"15:33 ET"
CEG,"Constellation Energy Corp",67.55,0.38,+0.57%,65.51,68.37,65.51,1534499,"15:33 ET"
CMS,"Cms Energy Corp",68.92,-0.42,-0.61%,68.85,69.47,68.57,541266,"15:33 ET"
CNP,"Centerpoint Energy Inc",31.51,-0.18,-0.57%,31.69,31.88,31.38,1309532,"15:33 ET"
D,"Dominion Resources",83.22,0.019999999999996,+0.02%,83.4,83.85,82.88,1372375,"15:33 ET"
DTE,"Dte Energy Company",129.77,-0.64999999999998,-0.50%,130.53,131.353,129.51,381425,"15:33 ET"
DUK,"Duke Energy Corp",110.09,-0.72999999999999,-0.66%,111.8,111.98,109.5,1975097,"15:34 ET"
ED,"Consolidated Edison Company",98.08,-0.019999999999996,-0.02%,98.27,98.75,97.61,998372,"15:33 ET"
EIX,"Edison International",69.21,-0.090000000000003,-0.13%,69.27,69.41,68.76,738538,"15:33 ET"
ES,"Eversource Energy",91.41,0.58,+0.64%,90.95,91.7,90.48,690486,"15:33 ET"
ETR,"Entergy Corp",119.33,1.95,+1.66%,117.49,119.585,116.93,741515,"15:33 ET"
EVRG,"Evergy Inc",68.28,-0.090000000000003,-0.13%,67.28,68.77,66.75,611496,"15:32 ET"
EXC,"Exelon Corp",45.13,0.82,+1.85%,44.49,45.365,44.43,4335112,"15:33 ET"
FE,"Firstenergy Corp",38.83,-0.57,-1.45%,39.02,39.18,38.56,2360095,"15:33 ET"
LNT,"Alliant Energy Corp",61.39,0.12,+0.20%,61.36,61.725,60.8,754170,"15:33 ET"
NEE,"Nextera Energy",88.39,1.93,+2.23%,86.96,88.655,86.45,6125906,"15:33 ET"
NI,"NiSource Inc",30.03,-0.24,-0.79%,30.37,30.37,29.92,2396960,"15:33 ET"
NRG,"NRG Energy",39.31,1.94,+5.19%,38.49,39.63,37.69,2782696,"15:33 ET"
PEG,"Public Service Enterprise Group Inc",65.1,-0.28,-0.43%,65.51,65.7,65.1,1253690,"15:33 ET"
PNW,"Pinnacle West Capital Corp",76.98,1.71,+2.27%,75.33,77.2,75.01,813846,"15:33 ET"
PPL,"PPL Corp",28.62,-0.37,-1.28%,29.03,29.055,28.5711,2678193,"15:33 ET"
SO,"Southern Company",78.14,0.88,+1.14%,77.5,78.775,77.46,3414760,"15:33 ET"
SRE,Sempra,162.02,-2.55,-1.55%,163,164.97,161.62,913401,"15:33 ET"
WEC,"Wisconsin Energy Corp",104.26,0.18000000000001,+0.17%,104.21,105.04,103.41,754692,"15:33 ET"
XEL,"XCEL Energy Inc",74.84,0.53,+0.71%,74.25,75.3699,74.18,1577098,"15:33 ET"
"Downloaded from Barchart.com as of 08-04-2022 02:34pm CDT"
